吉林联通,#genre#
国学频道,rtsp://139.215.98.88/PLTV/88888888/224/3221225781/10000100000000060000000014254032_0.smil
中学生频道,rtsp://139.215.98.88/PLTV/88888888/224/3221225795/10000100000000060000000014254371_0.smil
老故事,rtsp://139.215.98.88/PLTV/88888888/224/3221225827/10000100000000060000000014313391_0.smil
风云剧场,rtsp://139.215.98.88/PLTV/88888888/224/3221225829/10000100000000060000000014313392_0.smil
电视指南,rtsp://139.215.98.88/PLTV/88888888/224/3221225831/10000100000000060000000014313398_0.smil
高清测试,rtsp://139.215.98.88/PLTV/88888888/224/3221225854/10000100000000060000000015317262_0.smil
4K测试,rtsp://139.215.98.88/PLTV/88888888/224/3221225856/10000100000000060000000015317264_0.smil
休闲体育,rtsp://139.215.98.88/PLTV/88888888/224/3221225862/10000100000000060000000015632883_0.smil
羽球精品赛事,rtsp://139.215.98.88/PLTV/88888888/224/3221225860/10000100000000060000000015632892_0.smil
直播室101,rtsp://139.215.98.88/PLTV/88888888/224/3221225852/10000100000000060000000015242246_0.smil
直播室102,rtsp://139.215.98.88/PLTV/88888888/224/3221226013/10000100000000060000000015242249_0.smil
直播室103,rtsp://139.215.98.88/PLTV/88888888/224/3221226015/10000100000000060000000015242250_0.smil
直播室104,rtsp://139.215.98.88/PLTV/88888888/224/3221226027/10000100000000060000000015242270_0.smil
直播室105,rtsp://139.215.98.88/PLTV/88888888/224/3221226029/10000100000000060000000015242271_0.smil
直播室106,rtsp://139.215.98.88/PLTV/88888888/224/3221226031/10000100000000060000000015242272_0.smil
直播室107,rtsp://139.215.98.88/PLTV/88888888/224/3221226033/10000100000000060000000015242273_0.smil
直播室108,rtsp://139.215.98.88/PLTV/88888888/224/3221226025/10000100000000060000000015242255_0.smil
直播室109,rtsp://139.215.98.88/PLTV/88888888/224/3221226035/10000100000000060000000015242274_0.smil
直播室110,rtsp://139.215.98.88/PLTV/88888888/224/3221226037/10000100000000060000000015242275_0.smil
直播室111,rtsp://139.215.98.88/PLTV/88888888/224/3221226039/10000100000000060000000015242276_0.smil
直播频道12,rtsp://139.215.98.88/PLTV/88888888/224/3221225858/10000100000000060000000015613317_0.smil
直播频道11,rtsp://139.215.98.88/PLTV/88888888/224/3221226135/10000100000000060000000015570879_0.smil
直播频道10,rtsp://139.215.98.88/PLTV/88888888/224/3221226003/10000100000000060000000015014780_0.smil
直播频道09,rtsp://139.215.98.88/PLTV/88888888/224/3221226001/10000100000000060000000015014779_0.smil
直播频道08,rtsp://139.215.98.88/PLTV/88888888/224/3221225999/10000100000000060000000015014776_0.smil
直播频道07,rtsp://139.215.98.88/PLTV/88888888/224/3221225997/10000100000000060000000015014775_0.smil
直播频道06,rtsp://139.215.98.88/PLTV/88888888/224/3221225787/10000100000000060000000014254037_0.smil
直播频道05,rtsp://139.215.98.88/PLTV/88888888/224/3221225793/10000100000000060000000014254093_0.smil
